Model,Accuracy,Target_Column,Time,Model_Filename,Confusion_Matrix,Classification_Report
Logistic Regression,0.9231194690265486,status,20240106215848.0,Logistic Regression_20240106215848,,
Ridge Classifier,0.9026548672566372,status,20240106215848.0,Ridge Classifier_20240106215848,,
SGD Classifier,0.8993362831858407,status,20240106215848.0,SGD Classifier_20240106215848,,
Passive Aggressive Classifier,0.8949115044247787,status,20240106215848.0,Passive Aggressive Classifier_20240106215848,,
Decision Tree Classifier,0.9540929203539824,status,20240106215848.0,Decision Tree Classifier_20240106215848,,
Random Forest Classifier,0.9535398230088497,status,20240106215848.0,Random Forest Classifier_20240106215848,,
Gradient Boosting Classifier,0.9358407079646016,status,20240106215848.0,Gradient Boosting Classifier_20240106215848,,
AdaBoost Classifier,0.9314159292035398,status,20240106215848.0,AdaBoost Classifier_20240106215848,,
Extra Trees Classifier,0.9540929203539824,status,20240106215848.0,Extra Trees Classifier_20240106215848,,
Support Vector Classifier,0.7461283185840708,status,20240106215848.0,Support Vector Classifier_20240106215848,,
Linear SVC,0.4905973451327434,status,20240106215848.0,Linear SVC_20240106215848,,
NuSVC,0.8877212389380531,status,20240106215848.0,NuSVC_20240106215848,,
K-Nearest Neighbors,0.9297566371681416,status,20240106215848.0,K-Nearest Neighbors_20240106215848,,
Multi-layer Perceptron,0.926991150442478,status,20240106215848.0,Multi-layer Perceptron_20240106215848,,
Gaussian Naive Bayes,0.9280973451327432,status,20240106215848.0,Gaussian Naive Bayes_20240106215848,,
Linear Discriminant Analysis,0.9015486725663716,status,20240106215848.0,Linear Discriminant Analysis_20240106215848,,
Quadratic Discriminant Analysis,0.928650442477876,status,20240106215848.0,Quadratic Discriminant Analysis_20240106215848,,
Voting Classifier,0.9352876106194692,status,20240106215848.0,Voting Classifier_20240106215848,,
Bagging Classifier,0.952433628318584,status,20240106215848.0,Bagging Classifier_20240106215848,,
HistGradient Boosting Classifier,0.9469026548672568,status,20240106215848.0,HistGradient Boosting Classifier_20240106215848,,
Logistic Regression,0.9231194690265486,status,20240107121818.0,Logistic Regression_20240107121818,,
Ridge Classifier,0.9026548672566372,status,20240107121818.0,Ridge Classifier_20240107121818,,
SGD Classifier,0.8932522123893806,status,20240107121818.0,SGD Classifier_20240107121818,,
Passive Aggressive Classifier,0.8827433628318584,status,20240107121818.0,Passive Aggressive Classifier_20240107121818,,
Decision Tree Classifier,0.9540929203539824,status,20240107121818.0,Decision Tree Classifier_20240107121818,,
Random Forest Classifier,0.9540929203539824,status,20240107121818.0,Random Forest Classifier_20240107121818,,
Gradient Boosting Classifier,0.9358407079646016,status,20240107121818.0,Gradient Boosting Classifier_20240107121818,,
AdaBoost Classifier,0.9314159292035398,status,20240107121818.0,AdaBoost Classifier_20240107121818,,
Extra Trees Classifier,0.9540929203539824,status,20240107121818.0,Extra Trees Classifier_20240107121818,,
Support Vector Classifier,0.7461283185840708,status,20240107121818.0,Support Vector Classifier_20240107121818,,
Linear SVC,0.4889380530973451,status,20240107121818.0,Linear SVC_20240107121818,,
NuSVC,0.8877212389380531,status,20240107121818.0,NuSVC_20240107121818,,
K-Nearest Neighbors,0.9297566371681416,status,20240107121818.0,K-Nearest Neighbors_20240107121818,,
Multi-layer Perceptron,0.926991150442478,status,20240107121818.0,Multi-layer Perceptron_20240107121818,,
Gaussian Naive Bayes,0.9280973451327432,status,20240107121818.0,Gaussian Naive Bayes_20240107121818,,
Linear Discriminant Analysis,0.9015486725663716,status,20240107121818.0,Linear Discriminant Analysis_20240107121818,,
Quadratic Discriminant Analysis,0.928650442477876,status,20240107121818.0,Quadratic Discriminant Analysis_20240107121818,,
Voting Classifier,0.9352876106194692,status,20240107121818.0,Voting Classifier_20240107121818,,
