Gender,Grade,LOS,Location,Business_Unit,status,Age Group,Length of Service (Years),Last Promotion Date,Last_Date
1,Trainee Associate,0.5477,Lagos,0.0909,0,31-35,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.33,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Abuja,0.0909,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,,,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,26-30,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.31,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,,,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.0909,0,21-25,0.31,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.33,123.7863014,123.7863014
1,Trainee Associate,0.5477,Abuja,0.0909,0,26-30,0.33,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,31-35,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.5376,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.5376,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4912,1,,,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.5376,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.5376,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,1,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Abuja,0.0909,1,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,1,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Port Harcourt,0.0909,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.6714,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.0909,1,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.6714,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.4902,Lagos,0.4894,1,31-35,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.4717,0,31-35,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Abuja,0.5632,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.5632,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.3409,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Lagos,0.6714,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.5477,Abuja,0.4074,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.4074,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Abuja,0.4074,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4912,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4912,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4912,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.5477,Lagos,0.0909,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.5632,0,31-35,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4912,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.5632,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.5632,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4717,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.5632,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4717,0,,,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,1,,,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4717,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4717,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.4717,0,26-30,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.4717,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.5632,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,26-30,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,21-25,0.68,123.7863014,123.7863014
0,Trainee Associate,0.487,Lagos,0.4717,0,21-25,0.68,123.7863014,123.7863014
1,Trainee Associate,0.487,Lagos,0.3409,0,26-30,0.68,123.7863014,123.7863014
0,Tax Apprentice,0.487,Lagos,0.4717,1,,,123.7863014,123.7863014
0,Tax Apprentice,0.487,Lagos,1,1,,,123.7863014,123.7863014
0,Tax Apprentice,0.487,Lagos,1,1,,,123.7863014,123.7863014
0,Tax Apprentice,0.487,Lagos,0.5632,1,,,123.7863014,123.7863014
1,Tax Apprentice,0.487,Lagos,0.4717,1,,,123.7863014,123.7863014
0,Tax Apprentice,0.487,Lagos,0.5632,1,,,123.7863014,123.7863014
0,Senior Mager,0.5477,Lagos,0.5,1,,,123.7863014,123.7863014
0,Senior Mager,0.5477,Lagos,0.4918,0,36-40,10.51,123.7863014,123.7863014
0,Senior Mager,0.4902,Abuja,0.3704,1,,,123.7863014,123.7863014
1,Senior Mager,0.4902,Lagos,0.3704,1,,,123.7863014,123.7863014
1,Senior Mager,0.3462,Lagos,0.1765,0,,,123.7863014,123.7863014
0,Senior Mager,0.487,Lagos,0.5632,1,,,123.7863014,123.7863014
1,Senior Mager,0.5477,Lagos,0.4545,1,,,123.7863014,123.7863014
1,Senior Mager,0.5477,Lagos,0.5528,0,,,123.7863014,123.7863014
1,Senior Mager,0.4902,Lagos,0.7241,1,,,123.7863014,123.7863014
0,Senior Mager,0.3462,Lagos,0.3636,0,41-45,15.52,2.698630137,123.779663
1,Senior Mager,0.4902,Abuja,0.1923,0,,,123.7863014,123.7863014
1,Senior Mager,0.4902,Lagos,0.4894,0,36-40,14.99,4.205479452,123.7755375
1,Senior Mager,0.5477,Lagos,0.5528,1,,,123.7863014,123.7863014
1,Senior Mager,0.4902,Lagos,0.4894,0,36-40,14.99,2.202739726,123.7810207
