Model,RMSE,MAE,R2,Target_Column,Time,Model_Filename
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240205222518,AdaBoostRegressor_20240205222518
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240205222518,ard_20240205222518
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240205222518,BayesianRidge_20240205222518
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240205222518,ridge_20240205222518
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240205222518,par_20240205222518
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240205222518,KNeighborsRegressor_20240205222518
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240205222518,SVR_20240205222518
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240205222518,ElasticNet_20240205222518
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240205222518,en_20240205222518
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240205222518,ARDRegression_20240205222518
BaggingRegressor,9166.229154983344,7262.783333333334,0.83551209053805,Salary,20240205222518,BaggingRegressor_20240205222518
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240205222518,ada_20240205222518
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240205222518,br_20240205222518
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240205222518,PassiveAggressiveRegressor_20240205222518
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240205222518,lr_20240205222518
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240205222518,GradientBoostingRegressor_20240205222518
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240205222518,mlp_20240205222518
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240205222518,et_20240205222518
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240205222518,dt_20240205222518
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240205222518,rf_20240205222518
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240205222518,huber_20240205222518
SGDRegressor,7814.295176731165,6454.849877601802,0.8804547884998585,Salary,20240205222518,SGDRegressor_20240205222518
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240205222518,knn_20240205222518
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240205222518,lasso_20240205222518
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240205222518,Lasso_20240205222518
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240205222518,NuSVR_20240205222518
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240205222518,Ridge_20240205222518
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240205222518,HuberRegressor_20240205222518
RandomForestRegressor,7927.835506804328,6839.071837301589,0.8769556089618912,Salary,20240205222518,RandomForestRegressor_20240205222518
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240205222518,gbr_20240205222518
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240205222518,DecisionTreeRegressor_20240205222518
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240205222518,svm_20240205222518
LinearRegression,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240205222518,LinearRegression_20240205222518
ExtraTreesRegressor,8245.282325650429,7415.305,0.866904423412689,Salary,20240205222518,ExtraTreesRegressor_20240205222518
ExtraTreesRegressor,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240205223355,ExtraTreesRegressor_20240205223355
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240205223355,knn_20240205223355
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240205223355,gbr_20240205223355
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240205223355,HuberRegressor_20240205223355
BaggingRegressor,9166.229154983344,7262.783333333334,0.83551209053805,Salary,20240205223355,BaggingRegressor_20240205223355
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240205223355,en_20240205223355
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240205223355,Ridge_20240205223355
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240205223355,et_20240205223355
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240205223355,ada_20240205223355
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240205223355,RandomForestRegressor_20240205223355
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240205223355,KNeighborsRegressor_20240205223355
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240205223355,Lasso_20240205223355
AdaBoostRegressor,9399.30582309239,7684.472222222223,0.8270406195157944,Salary,20240205223355,AdaBoostRegressor_20240205223355
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240205223355,GradientBoostingRegressor_20240205223355
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240205223355,svm_20240205223355
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240205223355,dt_20240205223355
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240205223355,ElasticNet_20240205223355
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240205223355,ard_20240205223355
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240205223355,lasso_20240205223355
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240205223355,NuSVR_20240205223355
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240205223355,BayesianRidge_20240205223355
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240205223355,huber_20240205223355
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240205223355,ARDRegression_20240205223355
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240205223355,SVR_20240205223355
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240205223355,mlp_20240205223355
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240205223355,ridge_20240205223355
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240205223355,br_20240205223355
SGDRegressor,7814.295176731165,6454.849877601802,0.8804547884998585,Salary,20240205223355,SGDRegressor_20240205223355
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240205223355,rf_20240205223355
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240205223355,DecisionTreeRegressor_20240205223355
PassiveAggressiveRegressor,10098.262820350905,8677.770370394806,0.8003607638825252,Salary,20240205223355,PassiveAggressiveRegressor_20240205223355
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240205223355,par_20240205223355
